subject,roi,condition,period,drift_0,drift_1,diffusion,x_mean,x_std,stationarity,n_points
0,0,active,baseline,-0.04052171912727162,-0.0015719556491783039,0.08354546831015916,0.03204337,1.0058107,0.055210233,300
0,0,active,stimulation,-0.035749819258084035,0.006640139518169586,0.06585738789874326,-0.042300098,1.0051438,0.1625373,300
0,0,active,recovery,-0.04337064919035946,0.00010495533696834974,0.07280057207099219,0.010161686,0.9874775,0.11770079,300
0,0,sham,baseline,-0.02516229053748017,-0.00039636576298777575,0.04066549582361467,0.0016788832,1.3695527,0.037904326,300
0,0,sham,stimulation,-0.037989223293821955,0.0031242359532210984,0.1267585043221138,0.008162095,0.81293327,0.058815055,300
0,0,sham,recovery,-0.06428843399642276,-0.014472848816285246,0.28622101589952414,-0.009409225,0.68066514,0.20752859,300
0,1,active,baseline,-0.01868079370351604,0.011714512912211249,0.13875960701980408,0.0115810875,0.8340303,0.2740286,300
0,1,active,stimulation,-0.0321947299101579,-0.0024699969865380205,0.20756399629767783,-0.012634983,1.2462971,0.058363833,300
0,1,active,recovery,-0.0595193481472893,0.0016087542507195916,0.15520918307160997,0.0011953115,0.8665106,0.11837823,300
0,1,sham,baseline,-0.06252827557930782,0.016098691616679667,0.09938046188274936,-0.009569165,1.1086075,0.013050462,300
0,1,sham,stimulation,-0.05335760910468492,0.032545239894633975,0.16613317621472312,-0.021134974,0.92306423,0.061083704,300
0,1,sham,recovery,-0.04123937232113835,0.030549636215459086,0.29400777249147797,0.030525481,0.95784736,0.17775601,300
0,2,active,baseline,-0.03460476707336872,0.0034990924588908455,0.055953147192949124,-0.000575188,1.0771846,0.03743942,300
0,2,active,stimulation,-0.03465139958045827,0.007844225575991941,0.1300698875631898,-0.048826262,0.7861613,0.19837075,300
0,2,active,recovery,-0.0326773448501659,0.0011970089689183065,0.04387181980027744,0.0493315,1.1030893,0.057703026,300
0,2,sham,baseline,-0.02724558625949938,0.014325971197654178,0.0642493413935383,0.020328099,1.07355,0.003621858,300
0,2,sham,stimulation,-0.0372996506703231,0.019172224677552367,0.09095623436495336,-0.045852363,0.9883192,0.18386777,300
0,2,sham,recovery,-0.04287990814178455,-0.014685715388013904,0.122125930384067,0.025458664,0.9314259,0.032082196,300
0,3,active,baseline,-0.041519892051344445,-0.0037927590533800887,0.08506539797105557,-0.02109622,0.9202173,0.069676526,300
0,3,active,stimulation,-0.01409281261883597,-0.020999939527587046,0.08626506958620882,-0.0069327084,0.83134943,0.00010007621,300
0,3,active,recovery,-0.020732162661092506,0.006014800697637437,0.028981733854077166,0.0280326,1.2086275,0.035282265,300
0,3,sham,baseline,-0.028932911303687196,0.014184062974749067,0.06758845073781615,0.006317819,1.2501258,0.08988906,300
0,3,sham,stimulation,-0.05025522064481187,0.012753462010415223,0.11435212301797776,-0.008753394,0.84774095,0.0093483245,300
0,3,sham,recovery,-0.03552146150496205,-0.0009150798645673256,0.10425319542288508,0.0024980719,0.8475853,0.15617615,300
0,4,active,baseline,-0.03732151657719043,-0.0020871664087474522,0.06268185478583156,-0.021407567,1.108099,0.084348194,300
0,4,active,stimulation,-0.04054581310448863,0.015067105065393372,0.08463564043483862,-0.003221383,0.8835844,0.09307631,300
0,4,active,recovery,-0.042114488780930937,0.003991703680940058,0.07589629084212815,0.024652092,0.9951478,0.115657546,300
0,4,sham,baseline,-0.019063506605639834,0.0022600640613109567,0.06420757182671703,0.009325475,1.1356794,0.07533041,300
0,4,sham,stimulation,-0.043167124693315614,-0.005207592990004701,0.08482544756844163,-0.036844373,0.88658994,0.1548623,300
0,4,sham,recovery,-0.03780046270595268,0.00014388630659299318,0.09909439227354697,0.02748366,0.96020275,0.02117063,300
1,0,active,baseline,-0.022862803194592073,0.00271101967702499,0.061733985106767544,-0.039849915,1.1437428,0.026217088,300
1,0,active,stimulation,-0.0392926244813041,0.01474797629393058,0.09574610882222795,-5.5851935e-05,1.0216494,0.17397103,300
1,0,active,recovery,-0.08358466405089064,0.041719661379610355,0.2184331971048315,0.039887972,0.80306125,0.120327294,300
1,0,sham,baseline,-0.053641153969291214,-0.010202416562136808,0.12492740071335441,-0.04169047,0.97858095,0.15446323,300
1,0,sham,stimulation,-0.059594090461367794,0.031883708007218015,0.12750995644444263,0.048429027,1.0515453,0.1159216,300
1,0,sham,recovery,-0.043689813412988054,0.0005992209169021989,0.09088723329239122,-0.006402712,0.9656633,0.07609923,300
1,1,active,baseline,-0.059601984473373594,-0.0015553154238028997,0.10211018002305615,0.06405559,1.0428766,0.122913234,300
1,1,active,stimulation,-0.0560828675240256,0.02022845967752368,0.146824736847004,-0.035245713,0.9313033,0.0031119003,300
1,1,active,recovery,-0.05388733452623134,0.007001781912865596,0.1089449430553715,-0.028701562,1.0192715,0.051238995,300
1,1,sham,baseline,-0.06555500606040847,-0.01270783740010986,0.14562648982699936,-0.03870074,0.9257045,0.23858799,300
1,1,sham,stimulation,-0.05211135388729526,0.025111412596339925,0.15655956718677758,0.0024160114,0.96305555,0.03790677,300
1,1,sham,recovery,-0.05530498454480865,0.01494816520497143,0.11451022950684762,0.036162753,1.1012647,0.05329303,300
1,2,active,baseline,-0.04605768207990232,-0.00013775194800433728,0.08186489004897687,-0.0025488345,1.0578297,0.2174178,300
1,2,active,stimulation,-0.027042327080063794,0.003512388877895064,0.070897406140107,0.013360455,1.0480635,0.018128786,300
1,2,active,recovery,-0.06968537150420988,0.014625841508615305,0.1490569774180352,-0.010930769,0.8844502,0.11037554,300
1,2,sham,baseline,-0.09374789806443097,-0.0044900638328993926,0.20440368603205622,0.031257972,0.838212,0.056665752,300
1,2,sham,stimulation,-0.04246975244785138,0.011807782263236,0.08813232700390936,-0.018187568,0.9651583,0.020862913,300
1,2,sham,recovery,-0.06822929486529129,-0.007445319083623053,0.10419805988661146,-0.013522832,1.1680666,0.16449176,300
1,3,active,baseline,-0.03293968038990603,0.020874491988000392,0.09119432835971382,-0.016981909,0.9525988,0.06894754,300
1,3,active,stimulation,-0.038500498219965394,0.007647818583011414,0.10167418590941031,0.0234671,0.9672221,0.0042994227,300
1,3,active,recovery,-0.039074564974339095,-0.010455812623200538,0.0916803046926925,-0.006534411,1.0752462,0.114031635,300
1,3,sham,baseline,-0.02420529329584336,-0.02143560140868362,0.05966395421892219,-0.08830832,1.0886556,0.24685608,300
1,3,sham,stimulation,-0.013044505388499288,0.017967783404163645,0.08951617406124848,0.06125215,0.916653,0.14077337,300
1,3,sham,recovery,-0.015611907203078269,-0.0038786142295372016,0.06914381142897547,0.026938641,0.9809704,0.08305214,300
1,4,active,baseline,-0.044092664883123855,-0.003800320218580356,0.07454247935904101,-0.0012631766,0.97726125,0.0704649,300
1,4,active,stimulation,-0.0235086603226417,0.003945307930381342,0.04763078017330777,-0.0060176817,1.1470295,0.060474012,300
1,4,active,recovery,-0.029905530784786683,-0.012692466567458734,0.11021738525154645,0.0074052205,0.85392785,0.032644965,300
1,4,sham,baseline,-0.0247057415310795,-0.015916523216431423,0.08221194938319495,-0.044594243,0.98323977,0.37439933,300
1,4,sham,stimulation,-0.027994878982739932,-0.010318715338333284,0.08283524033911839,0.03442309,1.0160916,0.08768995,300
1,4,sham,recovery,-0.04546925508724462,-0.002395227400568039,0.09567568635799083,0.010122073,0.99876004,0.050597724,300
2,0,active,baseline,-0.03223934155407351,0.007408381471821231,0.11214096601023366,0.008484294,0.98521954,0.0700601,300
2,0,active,stimulation,-0.09010846083693758,0.0061349841301533425,0.15238599259671481,-0.017501593,0.9770588,0.0341768,300
2,0,active,recovery,-0.04987937993674602,0.016626244574968366,0.09246372281524624,0.008794486,1.0364563,0.14282584,300
2,0,sham,baseline,-0.06208008822920064,-0.02360025608034087,0.1499288627564772,-0.004901436,0.8817185,0.03813991,300
2,0,sham,stimulation,-0.05928173111544977,0.0019409105459435429,0.16668308753413938,-0.015583968,0.88693184,0.1323314,300
2,0,sham,recovery,-0.0457939141929538,0.00032201817153902716,0.06856862778561078,0.020788021,1.1980093,0.0020808524,300
2,1,active,baseline,-0.03836303623275284,0.00425253594348601,0.06895031973200985,-0.017022317,1.0961553,0.010721837,300
2,1,active,stimulation,-0.06628892465625073,0.010867820351273571,0.1289631654328183,-0.023126073,1.0550098,0.17446622,300
2,1,active,recovery,-0.034506010149292804,0.021646383657102735,0.16568366165262816,0.03985987,0.8264281,0.08697491,300
2,1,sham,baseline,-0.030707436659960122,-0.01493881496357569,0.09239106427336066,-0.06460694,0.9613897,0.2682658,300
2,1,sham,stimulation,-0.04084624409503656,-0.0032821338157499125,0.07978708408981047,-0.0015030265,1.0947856,0.034366332,300
2,1,sham,recovery,-0.0341898824025706,-0.013040194781860501,0.1155618265458143,0.0661368,0.9320001,0.09629871,300
2,2,active,baseline,-0.040587172851819044,-0.0015274722462104773,0.07619257197460026,-0.038745645,0.9892255,0.0018355432,300
2,2,active,stimulation,-0.042786964860352966,-0.005859982679556691,0.099270306051254,-0.010833076,0.9519158,0.017285831,300
2,2,active,recovery,-0.07972603820046224,-0.0025319261541301903,0.09319973942219699,0.04922289,1.0541569,0.18408154,300
2,2,sham,baseline,-0.039746600587213535,0.006995586477858501,0.0801358110963133,-0.04472129,1.0292237,0.118719295,300
2,2,sham,stimulation,-0.04556665348563212,-0.002929506874973343,0.1603282734023633,0.055112317,0.83763427,0.070450135,300
2,2,sham,recovery,-0.04585698782447699,-5.928038522840944e-05,0.08399875445808111,-0.010603176,1.1108192,0.01907752,300
2,3,active,baseline,-0.031219495181486753,3.8007491909362667e-05,0.0767632927573107,-0.041547,1.0746926,0.12617661,300
2,3,active,stimulation,-0.05471402834377601,-0.0248660277597175,0.1760782637308318,0.013653951,0.95836735,0.07131909,300
2,3,active,recovery,-0.0314798113477519,0.05528031918488994,0.12594210858930438,0.027969023,0.96118253,0.18463123,300
2,3,sham,baseline,-0.028789042889598142,0.005786729284498604,0.37941562452915856,0.02568544,0.77976656,0.09778539,300
2,3,sham,stimulation,-0.030069178111524694,0.017106105006579952,0.19795702201524393,0.011532919,0.99417186,0.040175382,300
2,3,sham,recovery,-0.036470175917900624,0.011599648349144297,0.08866995000069752,-0.03719537,1.1838121,0.10001138,300
2,4,active,baseline,-0.02208622106667969,-0.008113821810275059,0.050296061286709964,0.0018320815,1.2056341,0.10192389,300
2,4,active,stimulation,-0.017980388255169254,-0.007942952592047197,0.09505451323586055,-0.043755475,0.98677164,0.16468923,300
2,4,active,recovery,-0.03962285341404291,-0.026721107831474272,0.18093941657526774,0.04204094,0.7543502,0.19009306,300
2,4,sham,baseline,-0.017730829776595486,0.013713698409492433,0.08488625061717645,0.01721879,1.0202214,0.059768002,300
2,4,sham,stimulation,-0.022893531302894756,-0.009676330788097877,0.052275286484538885,-0.012680685,1.1004395,0.0038512333,300
2,4,sham,recovery,-0.06414854244493065,0.007610342640605775,0.14828987563047108,-0.0042358064,0.86469877,0.017157262,300
